lat,lon
1.341155,103.964851
1.341154,103.964859
1.341156,103.964859
1.34115,103.964859
1.34115,103.964851
1.341153,103.964851
1.341154,103.964851
1.341145,103.964844
1.341143,103.964844
1.341139,103.964836
1.341135,103.964836
1.341132,103.964836
1.34113,103.964828
1.341129,103.964821
1.341125,103.964821
1.341123,103.964813
1.341119,103.964813
1.34112,103.964821
1.341112,103.964821
1.341105,103.964828
1.341104,103.964828
1.341106,103.964828
1.341107,103.964828
1.341109,103.964828
1.341107,103.964821
1.341108,103.964813
1.341105,103.964813
1.341081,103.964798
1.34105,103.964775
1.341041,103.964767
1.341026,103.96476
1.341021,103.96476
1.341006,103.964752
1.34099,103.964737
1.340965,103.964729
1.340941,103.964722
1.340913,103.964706
1.340884,103.964706
1.340857,103.964706
1.340834,103.964706
1.340813,103.964706
1.34079,103.964706
1.340776,103.964706
1.34074,103.964714
1.340711,103.964722
1.34068,103.964729
1.340665,103.964737
1.340633,103.964752
1.340602,103.964767
1.340575,103.964783
1.34056,103.964798
1.340536,103.964821
1.340509,103.964844
1.340478,103.964874
1.340454,103.964905
1.340433,103.964935
1.340413,103.964973
1.340402,103.965004
1.340388,103.96505
1.340387,103.965065
1.340388,103.965088
1.340389,103.965103
1.340391,103.965134
1.340393,103.965157
1.340397,103.965179
1.340401,103.965202
1.340405,103.96521
1.340409,103.965233
1.340419,103.965263
1.340425,103.965279
1.340431,103.965294
1.340437,103.965309
1.340448,103.965332
1.3405,103.965408
1.340526,103.965431
1.340543,103.965454
1.340566,103.965477
1.340585,103.965492
1.340598,103.965508
1.340614,103.965523
1.340652,103.965561
1.340667,103.965576
1.340701,103.965614
1.340721,103.965637
1.340733,103.965645
1.340745,103.96566
1.34076,103.965675
1.340774,103.965683
1.340785,103.965698
1.340815,103.965729
1.340824,103.965736
1.34083,103.965744
1.340848,103.965767
1.340881,103.965797
1.340909,103.965828
1.34095,103.965866
1.340985,103.965904
1.341011,103.965935
1.341049,103.965973
1.341081,103.965996
1.34112,103.966026
1.341134,103.966034
1.341161,103.966049
1.341197,103.966057
1.341256,103.96608
1.341303,103.96608
1.341351,103.96608
1.341388,103.966072
1.341427,103.966064
1.341468,103.966064
1.341509,103.966049
1.341554,103.966026
1.34161,103.965996
1.341656,103.965958
1.341694,103.965919
1.34171,103.965897
1.341733,103.965866
1.341745,103.965843
1.341765,103.965797
1.341771,103.965775
1.341779,103.965752
1.341784,103.965721
1.341786,103.965698
1.341788,103.965675
1.341786,103.965645
1.341785,103.965622
1.341783,103.965591
1.341773,103.965546
1.341765,103.965523
1.341743,103.965485
1.341731,103.965462
1.341716,103.965439
1.341701,103.965424
1.341691,103.965408
1.341656,103.965363
1.341652,103.965355
1.341629,103.965324
1.341615,103.965309
1.341602,103.965294
1.341586,103.965271
1.34157,103.965248
1.341549,103.965225
1.341542,103.965218
1.341512,103.965195
1.341497,103.965179
1.34148,103.965164
1.341437,103.965118
1.341416,103.965096
1.341392,103.965073
1.341367,103.965057
1.341345,103.965042
1.341318,103.965027
1.341298,103.965019
1.341264,103.964981
1.341248,103.964966
1.341229,103.964943
1.341215,103.964928
1.34119,103.96489
1.341172,103.964859
1.341175,103.964859
1.341189,103.964836
1.341171,103.964828
1.341162,103.964828
1.341161,103.964821
1.341164,103.964813
1.341172,103.964806
1.341182,103.96479
1.341182,103.964783
1.341183,103.964783
1.341173,103.964813
1.341177,103.964813
1.341186,103.964813
1.341197,103.964806
1.3412,103.964806
